id,state,abbr,poverty,other
1,Alabama,AL,19.3,8.2
2,Alaska,AK,11.2,4.3
4,Arizona,AZ,18.2,4.6
5,Arkansas,AR,18.9,4.9
6,California,CA,16.4,4.4
8,Colorado,CO,12,4
9,Connecticut,CT,10.8,5
10,Delaware,DE,12.5,4.6
11,District of Columbia,DC,17.7,5.7
12,Florida,FL,16.5,4.6
13,Georgia,GA,18.3,4.2
15,Hawaii,HI,11.4,10.8
16,Idaho,ID,14.8,4.1
17,Illinois,IL,14.4,4
18,Indiana,IN,15.2,4.4
19,Iowa,IA,12.2,4.5
20,Kansas,KS,13.6,5.4
21,Kentucky,KY,19.1,4.3
22,Louisiana,LA,19.8,8.6
23,Maine,ME,14.1,3.7
24,Maryland,MD,10.1,4.4
25,Massachusetts,MA,11.6,4.9
26,Michigan,MI,16.2,5.2
27,Minnesota,MN,11.5,4.2
28,Mississippi,MS,21.5,9.6
29,Missouri,MO,15.5,7
30,Montana,MT,15.4,4
31,Nebraska,NE,12.4,4.3
32,Nevada,NV,15.2,4.8
33,New Hampshire,NH,9.2,4.3
34,New Jersey,NJ,11.1,4.4
35,New Mexico,NM,21.3,5.4
36,New York,NY,15.9,4.5
37,North Carolina,NC,17.2,7.6
38,North Dakota,ND,11.5,4.1
39,Ohio,OH,15.8,4.1
40,Oklahoma,OK,16.6,6.8
41,Oregon,OR,16.6,4.5
42,Pennsylvania,PA,13.6,4.9
44,Rhode Island,RI,14.3,5.3
45,South Carolina,SC,18,6.4
46,South Dakota,SD,14.2,5.5
47,Tennessee,TN,18.3,7.7
48,Texas,TX,17.2,5.1
49,Utah,UT,11.7,4.6
50,Vermont,VT,12.2,4.5
51,Virginia,VA,11.8,4.4
53,Washington,WA,13.2,4.1
54,West Virginia,VW,18.3,8.7
55,Wisconsin,WI,13.2,2.8
56,Wyoming,WY,11.2,4.8
72,Puerto Rico,PR,46.2,11.6
